,,lo,hi,thr
LIPNet,bac,0.49807081195178854,0.4982091880482116,0.014
LIPNet,csi,0.3149886769266377,0.31569132307336234,0.014
LIPNet,f05,0.3655100009546678,0.3661899990453321,0.014
LIPNet,f1s,0.4792580092524259,0.48006199074757394,0.014
LIPNet,f2s,0.6955100009546679,0.6961899990453321,0.014
LIPNet,fnr,0.004446871255867898,0.004653128744132101,0.014
LIPNet,fom,0.6373201669181053,0.6504398330818945,0.014
LIPNet,fpr,0.9989999999999999,0.9989999999999999,0.014
LIPNet,inf,-0.003653128744132102,-0.0034468712558679,0.014
LIPNet,mcc,-0.03415523105057758,-0.03272476894942243,0.014
LIPNet,mk,-0.3345726686577683,-0.3214873313422317,0.014
LIPNet,npv,0.3495601669181055,0.3626798330818945,0.014
LIPNet,ppv,0.31551000095466786,0.3161899990453322,0.014
LIPNet,tnr,0.0010000000000000002,0.0010000000000000002,0.014
LIPNet,tpr,0.9953468712558677,0.9955531287441319,0.014
AlphaFold-rsa,bac,0.8888615562987058,0.8893384437012944,0.551
AlphaFold-rsa,csi,0.7497653595033336,0.7507346404966666,0.551
AlphaFold-rsa,f05,0.8784239453180211,0.8790560546819788,0.551
AlphaFold-rsa,f1s,0.8569571498071993,0.8576028501928006,0.551
AlphaFold-rsa,f2s,0.8363958521393294,0.8371641478606703,0.551
AlphaFold-rsa,fnr,0.1758921847288923,0.17676781527110774,0.551
AlphaFold-rsa,fom,0.07861490247632305,0.07906509752367691,0.551
AlphaFold-rsa,fpr,0.045112982251019056,0.04544701774898092,0.551
AlphaFold-rsa,inf,0.7779173878981664,0.7788626121018336,0.551
AlphaFold-rsa,mcc,0.7960408925602009,0.796919107439799,0.551
AlphaFold-rsa,mk,0.8144150103107813,0.8153049896892185,0.551
AlphaFold-rsa,npv,0.9209349024763234,0.9213850975236773,0.551
AlphaFold-rsa,ppv,0.8933253677258771,0.8940746322741232,0.551
AlphaFold-rsa,tnr,0.9545529822510189,0.9548870177489809,0.551
AlphaFold-rsa,tpr,0.8232321847288923,0.8241078152711078,0.551
AIUPred,bac,0.8210920952137941,0.8217279047862056,0.665
AIUPred,csi,0.6202284596293886,0.6214315403706114,0.665
AIUPred,f05,0.8063287473545239,0.8072112526454763,0.665
AIUPred,f1s,0.7655949779159574,0.766505022084043,0.665
AIUPred,f2s,0.7288137892824053,0.7298662107175945,0.665
AIUPred,fnr,0.29271105181454987,0.2938489481854502,0.665
AIUPred,fom,0.12635868815608117,0.12692131184391883,0.665
AIUPred,fpr,0.06378524324627495,0.06421475675372508,0.665
AIUPred,inf,0.6420750635967261,0.6433649364032741,0.665
AIUPred,mcc,0.6748309765180307,0.6760290234819695,0.665
AIUPred,mk,0.7090300480148275,0.7102299519851725,0.665
AIUPred,npv,0.8730786881560811,0.8736413118439189,0.665
AIUPred,ppv,0.8357768368407777,0.836763163159222,0.665
AIUPred,tnr,0.935785243246275,0.9362147567537251,0.665
AIUPred,tpr,0.7061510518145496,0.70728894818545,0.665
